Type,Spatial_Frequency,filepath,file_name
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg
